Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
1	0.873193959	1/1/1865	cooler	cooler	cooler	-0.019	-0.093	1	-0.166	1865	1865/01
2	0.971199888	2/1/1865	cooler	cooler	cooler	-0.532	-0.602	1	-0.691	1865	1865/02
3	0.83770212	3/1/1865	cooler	cooler	cooler	-0.568	-0.639	1	-0.724	1865	1865/03
4	0.585026735	4/1/1865	cooler	cooler	cooler	-0.159	-0.224	1	-0.3	1865	1865/04
5	0.970185924	5/1/1865	cooler	cooler	cooler	-0.194	-0.26	1	-0.347	1865	1865/05
6	0.71267557	6/1/1865	cooler	cooler	cooler	-0.201	-0.27	1	-0.351	1865	1865/06
7	0.413223524	7/1/1865	cooler	cooler	cooler	-0.054	-0.128	1	-0.216	1865	1865/07
8	0.053950542	8/1/1865	cooler	cooler	cooler	-0.148	-0.207	1	-0.292	1865	1865/08
9	0.058217009	9/1/1865	cooler	cooler	cooler	-0.005	-0.075	1	-0.161	1865	1865/09
10	0.674557357	10/1/1865	cooler	cooler	cooler	-0.208	-0.272	1	-0.381	1865	1865/10
11	0.280534401	11/1/1865	cooler	cooler	cooler	-0.137	-0.191	1	-0.282	1865	1865/11
12	0.517732682	12/1/1865	cooler	cooler	cooler	-0.266	-0.338	1	-0.42	1865	1865/12
1	0.230235918	1/1/1866	warmer	cooler	warmer	0.111	0.039	1	-0.047	1866	1866/01
2	0.416197768	2/1/1866	cooler	cooler	cooler	-0.15	-0.212	1	-0.3	1866	1866/02
3	0.425907542	3/1/1866	cooler	cooler	cooler	-0.526	-0.595	1	-0.685	1866	1866/03
4	0.106048137	4/1/1866	cooler	cooler	cooler	-0.195	-0.263	1	-0.356	1866	1866/04
5	0.310716527	5/1/1866	cooler	cooler	cooler	-0.464	-0.528	1	-0.637	1866	1866/05
6	0.215792035	6/1/1866	warmer	warmer	warmer	0.171	0.108	1	0.013	1866	1866/06
7	0.315127572	7/1/1866	warmer	cooler	warmer	0.095	0.027	1	-0.061	1866	1866/07
8	0.456832468	8/1/1866	cooler	cooler	cooler	-0.199	-0.261	1	-0.344	1866	1866/08
9	0.756588933	9/1/1866	cooler	cooler	cooler	-0.154	-0.225	1	-0.31	1866	1866/09
10	0.553107018	10/1/1866	cooler	cooler	cooler	-0.348	-0.417	1	-0.513	1866	1866/10
11	0.747523708	11/1/1866	cooler	cooler	cooler	-0.234	-0.301	1	-0.386	1866	1866/11
12	0.592189256	12/1/1866	cooler	cooler	cooler	-0.27	-0.337	1	-0.437	1866	1866/12
1	0.620869758	1/1/1867	cooler	cooler	cooler	-0.23	-0.305	1	-0.397	1867	1867/01
2	0.553681972	2/1/1867	warmer	cooler	warmer	0.091	0.022	1	-0.064	1867	1867/02
3	0.395200956	3/1/1867	cooler	cooler	cooler	-0.652	-0.714	1	-0.807	1867	1867/03
4	0.505522892	4/1/1867	cooler	cooler	cooler	-0.185	-0.251	1	-0.341	1867	1867/04
5	0.938310297	5/1/1867	cooler	cooler	cooler	-0.477	-0.542	1	-0.63	1867	1867/05
6	0.580058749	6/1/1867	cooler	cooler	cooler	-0.234	-0.295	1	-0.38	1867	1867/06
7	0.127614578	7/1/1867	cooler	cooler	cooler	-0.165	-0.231	1	-0.313	1867	1867/07
8	0.938285086	8/1/1867	cooler	cooler	cooler	-0.159	-0.225	1	-0.316	1867	1867/08
9	0.016331755	9/1/1867	cooler	cooler	cooler	-0.022	-0.095	1	-0.182	1867	1867/09
10	0.753411454	10/1/1867	cooler	cooler	cooler	-0.114	-0.179	1	-0.27	1867	1867/10
11	0.611481146	11/1/1867	cooler	cooler	cooler	-0.245	-0.309	1	-0.397	1867	1867/11
12	0.847846641	12/1/1867	cooler	cooler	cooler	-0.56	-0.624	1	-0.717	1867	1867/12
1	0.843966495	1/1/1868	cooler	cooler	cooler	-0.624	-0.704	1	-0.808	1868	1868/01
2	0.335874365	2/1/1868	cooler	cooler	cooler	-0.38	-0.466	1	-0.564	1868	1868/02
3	0.281912341	3/1/1868	warmer	cooler	cooler	0.002	-0.07	1	-0.168	1868	1868/03
4	0.389332312	4/1/1868	cooler	cooler	cooler	-0.298	-0.371	1	-0.444	1868	1868/04
5	0.194845105	5/1/1868	cooler	cooler	cooler	-0.013	-0.069	1	-0.176	1868	1868/05
6	0.061053039	6/1/1868	cooler	cooler	cooler	-0.112	-0.176	1	-0.272	1868	1868/06
7	0.563851175	7/1/1868	warmer	warmer	warmer	0.209	0.147	1	0.064	1868	1868/07
8	0.169726101	8/1/1868	warmer	cooler	cooler	0.026	-0.037	1	-0.13	1868	1868/08
9	0.887215719	9/1/1868	cooler	cooler	cooler	-0.138	-0.196	1	-0.272	1868	1868/09
